State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Year_Built,Nearby_Schools,Nearby_Hospitals,Furnished_Status,Parking_Space,Floor,Total_Floors,Facing,Owner_Type,Availability_Status,Security,Amenities,Public_Transport_Accessibility,Price_per_SqFt,Age_of_Property,Future_Price_5Y,Good_Investment
Karnataka,Hyderabad,Koramangala,Penthouse,3,3240,419.5963376269492,2008,2,2,Semi-Furnished,3,17,1,East,Second,Ready to move,Yes,Luxury,Poor,12950.504247745344,17,616.5246797977289,1
Karnataka,Delhi,T Nagar,Villa,3,1143,426.32937530107364,1997,4,6,Unfurnished,0,9,24,South,Second,Ready to move,No,Basic,Good,37299.15794410093,28,626.4177210944722,1
Tamil Nadu,Ahmedabad,Koramangala,Penthouse,2,1894,182.5077500263901,2010,4,6,Furnished,2,7,19,North,Third+,Ready to move,No,Luxury,Average,9636.10084616632,15,268.163761347371,1
Maharashtra,Hyderabad,Whitefield,Independent House,3,2910,400.85891106356144,2012,1,1,Furnished,0,24,21,South,Second,Ready to move,Yes,Basic,Poor,13775.220311462592,13,588.9932528611652,0
Gujarat,Mumbai,Connaught Place,Apartment,4,3248,121.84565845227579,2018,1,4,Unfurnished,0,10,4,South,Second,Under Construction,Yes,"Gym, Pool",Poor,3751.405740525732,7,179.0312470001121,0
Telangana,Pune,Koramangala,Villa,1,2248,374.44404859658397,2011,9,3,Semi-Furnished,3,7,26,West,Third+,Under Construction,Yes,Basic,Poor,16656.76372760605,14,550.1811537936246,0
Maharashtra,Mumbai,Whitefield,Apartment,2,414,475.224524610856,2012,0,1,Unfurnished,3,7,19,North,First,Ready to move,Yes,Basic,Excellent,114788.53251469952,13,698.2607367946636,1
Telangana,Bangalore,Koramangala,Independent House,3,2388,26.59704065165945,2004,1,3,Semi-Furnished,2,14,26,East,Second,Under Construction,Yes,Basic,Average,1113.7789217612835,21,39.07977858927421,1
Maharashtra,Pune,Koramangala,Villa,3,607,231.37468696582306,2011,6,0,Semi-Furnished,2,1,21,East,Third+,Under Construction,Yes,Basic,Poor,38117.74085104169,14,339.96532381969496,0
Tamil Nadu,Hyderabad,T Nagar,Penthouse,1,1483,330.9300744387222,2010,0,7,Semi-Furnished,2,19,19,East,Third+,Ready to move,Yes,Basic,Average,22314.907244687944,15,486.24484983032875,0
Gujarat,Mumbai,Andheri,Villa,2,2812,356.85236983402547,2015,0,7,Semi-Furnished,3,21,25,North,Third+,Ready to move,Yes,Luxury,Poor,12690.340321266909,10,524.3332062697511,1
Gujarat,Chennai,Bandra,Apartment,3,3055,104.52212396921706,2018,8,3,Semi-Furnished,1,23,11,East,First,Ready to move,Yes,Luxury,Good,3421.3461201053046,7,153.57729139474094,1
Delhi,Delhi,Koramangala,Villa,5,2607,486.6479721145246,1996,1,2,Unfurnished,1,12,29,West,First,Ready to move,No,"Gym, Pool, Park",Average,18666.97246315783,29,715.0455289456547,0
Telangana,Ahmedabad,Koramangala,Independent House,2,796,315.327376626067,2014,3,4,Unfurnished,3,17,9,South,First,Ready to move,Yes,"Gym, Pool, Park",Average,39613.99203845063,11,463.31936786036846,1
Maharashtra,Ahmedabad,Koramangala,Independent House,5,2357,98.88348858956853,1998,2,5,Furnished,2,11,13,North,Second,Ready to move,Yes,"Gym, Pool",Average,4195.311352972784,27,145.29228611658553,1
Maharashtra,Delhi,Andheri,Villa,2,1193,29.85080562200734,2005,3,1,Semi-Furnished,1,7,22,East,Third+,Ready to move,Yes,"Gym, Pool",Good,2502.1630865052252,20,43.860626815514685,1
Karnataka,Chennai,Whitefield,Independent House,2,2947,395.9668154190924,2021,6,5,Unfurnished,0,16,19,South,Third+,Ready to move,No,"Gym, Pool, Park",Excellent,13436.267913779857,4,581.8051593763558,1
Delhi,Bangalore,Connaught Place,Independent House,2,608,58.25827493382036,2001,9,4,Unfurnished,1,5,5,South,First,Ready to move,No,Luxury,Poor,9581.953114115191,24,85.60051906619594,1
Karnataka,Pune,T Nagar,Independent House,3,1556,87.70444211371354,2011,1,3,Semi-Furnished,1,15,11,West,Second,Under Construction,Yes,"Gym, Pool",Excellent,5636.532269518865,14,128.8665992577597,1
Karnataka,Delhi,Andheri,Penthouse,2,832,295.9184128907315,2019,1,1,Semi-Furnished,3,23,24,East,Second,Ready to move,Yes,"Gym, Pool, Park",Average,35567.11693398215,6,434.80123250244696,0
Karnataka,Chennai,Whitefield,Apartment,2,3056,309.68264165581746,2013,8,4,Unfurnished,3,23,25,North,Third+,Under Construction,Yes,Luxury,Excellent,10133.594295020206,12,455.02540028248603,1
Telangana,Hyderabad,Koramangala,Independent House,4,2154,349.70581692435127,2000,5,2,Semi-Furnished,1,22,3,South,First,Ready to move,Yes,"Gym, Pool, Park",Average,16235.181844213152,25,513.8325754272302,0
Telangana,Ahmedabad,Whitefield,Villa,5,2836,208.88672607853795,2004,6,0,Unfurnished,0,22,5,West,Third+,Ready to move,Yes,"Gym, Pool",Poor,7365.54041179612,21,306.9231314980267,1
Tamil Nadu,Chennai,Andheri,Independent House,2,3444,391.471361104075,2015,4,6,Furnished,0,13,13,South,First,Under Construction,Yes,"Gym, Pool",Excellent,11366.764259700203,10,575.1998621333291,1
Tamil Nadu,Bangalore,Andheri,Penthouse,1,982,487.6921278156266,1998,4,0,Semi-Furnished,2,9,14,West,First,Ready to move,Yes,Basic,Poor,49663.14947205973,27,716.5797362338346,0
Karnataka,Bangalore,Andheri,Villa,3,831,150.12557267834384,2019,3,2,Furnished,1,24,13,West,Third+,Ready to move,No,"Gym, Pool, Park",Poor,18065.652548537164,6,220.58371898196967,1
Delhi,Mumbai,Connaught Place,Apartment,3,1697,357.45373593821404,2021,7,5,Furnished,1,1,2,South,First,Under Construction,No,"Gym, Pool, Park",Excellent,21063.861870254215,4,525.2168103710712,1
Maharashtra,Delhi,Bandra,Villa,1,750,465.6649531496753,2022,6,0,Furnished,0,12,2,South,First,Ready to move,Yes,"Gym, Pool, Park",Good,62088.6604199567,3,684.2145900445747,0
Telangana,Mumbai,T Nagar,Villa,4,533,349.4176460561805,2019,9,2,Semi-Furnished,3,0,18,East,First,Ready to move,No,"Gym, Pool",Good,65556.78162404888,6,513.409157879711,0
Delhi,Ahmedabad,Connaught Place,Villa,1,1038,346.93255934924457,1995,1,3,Furnished,1,17,28,North,First,Ready to move,Yes,Luxury,Good,33423.1752744937,30,509.7577502079276,0
Gujarat,Chennai,Connaught Place,Villa,3,1628,127.41083316089916,2001,1,5,Unfurnished,0,13,6,West,Second,Under Construction,Yes,"Gym, Pool, Park",Excellent,7826.218253126483,24,187.2083144517897,1
Telangana,Pune,Bandra,Independent House,2,516,276.86249615345264,2020,5,5,Unfurnished,1,2,19,West,First,Ready to move,No,Luxury,Excellent,53655.52251035904,5,406.8018390112001,1
Telangana,Pune,Connaught Place,Apartment,3,1690,290.0109649301985,2019,0,6,Semi-Furnished,3,14,10,South,First,Ready to move,Yes,"Gym, Pool, Park",Excellent,17160.41212604725,6,426.121253351801,1
Tamil Nadu,Bangalore,Andheri,Independent House,2,2217,356.06218997885736,2015,6,2,Semi-Furnished,2,8,21,South,First,Under Construction,No,"Gym, Pool",Excellent,16060.540819975522,10,523.1721728228309,1
Maharashtra,Pune,Andheri,Penthouse,3,2596,498.47429595016763,2010,7,0,Furnished,3,12,8,South,Third+,Ready to move,Yes,Luxury,Good,19201.629273889353,15,732.4222786026941,1
Maharashtra,Pune,Whitefield,Penthouse,5,2103,36.1490348210058,2011,9,6,Semi-Furnished,3,22,5,North,Second,Under Construction,No,"Gym, Pool, Park",Good,1718.927000523338,14,53.1147918117247,1
Gujarat,Ahmedabad,Koramangala,Villa,2,2247,51.31167740839368,2018,7,6,Unfurnished,0,4,2,South,First,Ready to move,No,Luxury,Excellent,2283.563747592064,7,75.39368828385712,1
Gujarat,Pune,Connaught Place,Independent House,3,2626,57.416033326841,1999,2,3,Unfurnished,0,4,6,West,First,Ready to move,Yes,"Gym, Pool, Park",Poor,2186.444528821059,26,84.36298982561203,1
Telangana,Chennai,Koramangala,Independent House,2,2595,376.62998455469926,2016,6,5,Unfurnished,3,21,18,West,Third+,Ready to move,Yes,Basic,Poor,14513.67955894795,9,553.3930108709702,1
Karnataka,Pune,T Nagar,Apartment,4,864,85.44982165316361,2017,0,2,Semi-Furnished,0,1,29,West,Second,Ready to move,No,Basic,Poor,9890.025654301346,8,125.55382211254593,1
Tamil Nadu,Hyderabad,Andheri,Apartment,5,1375,318.7768997553657,2004,2,2,Unfurnished,3,0,8,North,Second,Ready to move,Yes,Basic,Excellent,23183.77452766296,21,468.3878490458181,0
Tamil Nadu,Pune,Whitefield,Apartment,3,3016,175.84106138886006,2001,5,7,Semi-Furnished,3,16,2,North,Second,Ready to move,Yes,"Gym, Pool, Park",Good,5830.273918728782,24,258.3682085529646,1
Telangana,Pune,T Nagar,Independent House,3,2425,239.51357898114128,2007,8,6,Furnished,1,18,23,North,First,Ready to move,Yes,Luxury,Excellent,9876.848617779022,18,351.92402637184534,1
Delhi,Mumbai,Whitefield,Apartment,5,1428,123.51831671235868,2022,4,7,Unfurnished,3,16,20,North,Second,Ready to move,Yes,Basic,Average,8649.742066691784,3,181.48893074454335,1
Karnataka,Chennai,Bandra,Apartment,2,925,435.7311494261802,2001,4,5,Furnished,2,8,4,East,Third+,Under Construction,No,"Gym, Pool",Good,47106.070208235695,24,640.232011788223,1
Telangana,Bangalore,Andheri,Apartment,2,2727,301.35215559825264,2009,8,5,Unfurnished,0,9,15,East,Third+,Ready to move,Yes,Luxury,Good,11050.684107013298,16,442.78518322471507,1
Karnataka,Mumbai,T Nagar,Villa,3,2946,473.39036651948123,2011,8,3,Unfurnished,2,14,24,East,First,Ready to move,Yes,Basic,Poor,16068.919433790945,14,695.5657568137167,1
Karnataka,Delhi,Bandra,Penthouse,2,1235,295.8061998580782,2017,5,7,Unfurnished,0,12,20,South,First,Ready to move,Yes,"Gym, Pool",Poor,23951.919016848435,8,434.6363547429866,1
Karnataka,Chennai,T Nagar,Penthouse,4,2883,79.4758546865344,2021,4,5,Furnished,3,20,24,North,First,Ready to move,Yes,"Gym, Pool",Poor,2756.706718228734,4,116.7761047186019,1
Telangana,Hyderabad,Whitefield,Independent House,3,3263,102.01780824246822,1997,9,1,Unfurnished,2,24,9,North,First,Under Construction,Yes,"Gym, Pool",Excellent,3126.503470501631,28,149.89762998425707,1
Tamil Nadu,Chennai,Bandra,Independent House,1,1639,494.7555086565667,1999,1,7,Furnished,1,20,24,East,Third+,Under Construction,Yes,"Gym, Pool, Park",Average,30186.42517733781,26,726.9581600205591,0
Tamil Nadu,Delhi,Bandra,Villa,2,3134,368.27129471881653,2004,7,0,Semi-Furnished,3,16,20,East,First,Under Construction,No,"Gym, Pool",Poor,11750.839014639965,21,541.1113532098449,1
Karnataka,Delhi,Andheri,Penthouse,2,3275,43.653800013963036,1999,7,5,Unfurnished,3,22,21,North,First,Under Construction,Yes,Luxury,Excellent,1332.9404584416195,26,64.14175401952815,1
Delhi,Delhi,Koramangala,Apartment,3,3416,357.8148824166391,2018,6,1,Unfurnished,3,6,6,East,First,Under Construction,Yes,Luxury,Average,10474.67454381262,7,525.7474530316587,1
Maharashtra,Ahmedabad,Whitefield,Apartment,2,1938,217.8430624686136,2001,7,7,Furnished,1,3,9,South,First,Ready to move,Yes,"Gym, Pool, Park",Excellent,11240.612098483674,24,320.0829280212304,1
Telangana,Bangalore,Whitefield,Independent House,1,2310,167.46002567513145,2001,2,3,Unfurnished,2,2,13,South,Third+,Ready to move,Yes,"Gym, Pool",Good,7249.351760828202,24,246.0537174661196,1
Maharashtra,Pune,Bandra,Penthouse,3,3059,93.94918099065646,2016,2,3,Semi-Furnished,3,0,5,South,Second,Ready to move,Yes,Luxury,Good,3071.2383455592176,9,138.04216942193642,1
Delhi,Chennai,Bandra,Independent House,4,3042,423.1538981871515,2017,1,4,Unfurnished,2,6,14,West,First,Ready to move,Yes,"Gym, Pool, Park",Average,13910.38455579065,8,621.7519034137506,0
Telangana,Ahmedabad,Andheri,Independent House,4,1703,50.64386191476834,2008,0,7,Semi-Furnished,3,4,14,West,Third+,Ready to move,Yes,"Gym, Pool",Poor,2973.802813550695,17,74.41244822895135,1
Karnataka,Pune,Koramangala,Apartment,5,531,159.12102194222734,2017,2,4,Semi-Furnished,3,16,18,North,Second,Ready to move,Yes,Luxury,Average,29966.294151078597,8,233.8009851488236,0
Tamil Nadu,Pune,Whitefield,Apartment,3,792,167.0637890363381,2009,2,3,Unfurnished,3,16,7,West,Third+,Ready to move,Yes,"Gym, Pool",Excellent,21093.912757113398,16,245.4715158476837,1
Maharashtra,Hyderabad,Connaught Place,Penthouse,1,880,97.23453630248017,1999,6,7,Unfurnished,1,14,6,East,Second,Ready to move,Yes,"Gym, Pool, Park",Good,11049.379125281836,26,142.869434223863,1
Gujarat,Delhi,Connaught Place,Independent House,4,3075,263.92874397769776,1999,9,4,Semi-Furnished,3,2,27,South,Third+,Ready to move,Yes,Basic,Poor,8583.048584640577,26,387.7979138009904,1
Gujarat,Bangalore,Koramangala,Villa,2,2434,25.61726086922846,1998,8,2,Semi-Furnished,2,2,12,South,First,Ready to move,Yes,Luxury,Excellent,1052.4757957776687,27,37.64016064586736,1
Delhi,Hyderabad,T Nagar,Penthouse,3,2866,164.4682473969964,2014,0,1,Semi-Furnished,3,1,14,West,Second,Under Construction,Yes,"Gym, Pool",Excellent,5738.599001988709,11,241.6578136424954,1
Karnataka,Mumbai,Andheri,Independent House,3,1625,468.1421331358707,2015,7,3,Unfurnished,2,7,19,South,Third+,Ready to move,Yes,"Gym, Pool",Good,28808.74665451512,10,687.8543801495788,1
Maharashtra,Ahmedabad,Koramangala,Penthouse,4,3099,169.05419328416275,2020,0,2,Furnished,2,12,16,South,First,Ready to move,Yes,Basic,Poor,5455.120790066562,5,248.3960726931944,1
Karnataka,Ahmedabad,Connaught Place,Penthouse,2,3105,193.02050581124078,2003,2,0,Unfurnished,0,23,24,South,First,Ready to move,Yes,"Gym, Pool",Average,6216.441410990042,22,283.61044858659375,1
Maharashtra,Bangalore,Bandra,Penthouse,1,861,247.11922315235435,2021,3,7,Furnished,2,5,19,East,Second,Under Construction,Yes,"Gym, Pool, Park",Good,28701.41964603419,4,363.099212894759,0
Delhi,Pune,Connaught Place,Villa,3,2201,289.6128199287079,2006,7,0,Furnished,0,4,10,West,Third+,Under Construction,Yes,"Gym, Pool, Park",Good,13158.23807036383,19,425.53624772247326,1
Delhi,Ahmedabad,Bandra,Villa,2,551,408.18014951395713,2010,0,4,Unfurnished,1,12,11,South,First,Under Construction,Yes,"Gym, Pool",Poor,74079.88194445684,15,599.7505540732793,0
Gujarat,Bangalore,Andheri,Apartment,5,2669,111.35418711488846,2016,1,4,Furnished,3,21,4,South,Third+,Ready to move,Yes,"Gym, Pool",Average,4172.131401831714,9,163.61583359714646,1
Karnataka,Ahmedabad,Bandra,Apartment,3,478,438.43826105242744,2002,4,2,Semi-Furnished,1,0,25,South,First,Ready to move,Yes,Luxury,Good,91723.48557582164,23,644.2096469076998,1
Telangana,Ahmedabad,Koramangala,Independent House,3,1623,383.6236914290669,2003,5,0,Unfurnished,1,17,29,North,First,Under Construction,Yes,"Gym, Pool, Park",Average,23636.703107151385,22,563.6690607423877,0
Gujarat,Delhi,Bandra,Penthouse,4,2185,366.87216063754653,2006,4,5,Furnished,2,6,20,East,First,Ready to move,Yes,Luxury,Good,16790.48790103188,19,539.0555662210271,0
Karnataka,Mumbai,T Nagar,Independent House,3,2546,61.66619538302491,2014,2,3,Semi-Furnished,3,16,2,West,Second,Ready to move,No,Basic,Average,2422.0815154369566,11,90.60787226571307,1
Gujarat,Delhi,Koramangala,Apartment,2,2424,30.387531187800647,2022,9,7,Furnished,3,7,9,South,Third+,Ready to move,Yes,Luxury,Average,1253.6110225990367,3,44.649252758871164,1
Telangana,Mumbai,Andheri,Villa,2,3359,305.1260964358803,2023,6,5,Furnished,1,18,10,East,Second,Under Construction,Yes,"Gym, Pool",Excellent,9083.837345515936,2,448.3303404576235,1
Tamil Nadu,Ahmedabad,Koramangala,Apartment,3,2660,434.3043020111174,2001,0,7,Semi-Furnished,0,15,8,South,Second,Ready to move,Yes,Luxury,Good,16327.229398914189,24,638.1355048199617,1
Tamil Nadu,Hyderabad,T Nagar,Independent House,4,3149,300.53190278750526,2015,1,1,Semi-Furnished,0,13,4,West,Second,Under Construction,Yes,Luxury,Excellent,9543.725080581304,10,441.57996273980984,0
Tamil Nadu,Pune,Andheri,Apartment,3,2236,122.3527354138548,1998,8,6,Unfurnished,2,19,13,West,Second,Ready to move,Yes,Luxury,Good,5471.94702208653,27,179.7763094168586,1
Tamil Nadu,Ahmedabad,Connaught Place,Independent House,5,1797,63.44955101562235,2022,3,4,Furnished,0,22,27,North,Second,Under Construction,Yes,"Gym, Pool, Park",Excellent,3530.859822794788,3,93.2282067676079,1
Maharashtra,Mumbai,T Nagar,Independent House,1,1475,355.8062973525128,2017,7,2,Unfurnished,0,9,6,North,First,Ready to move,Yes,Luxury,Excellent,24122.460837458493,8,522.7961826022968,0
Tamil Nadu,Mumbai,Andheri,Independent House,2,3414,366.4497331125486,1997,8,5,Unfurnished,1,22,6,North,First,Ready to move,Yes,Basic,Excellent,10733.735592048875,28,538.4348815981344,1
Telangana,Mumbai,Bandra,Independent House,1,2047,102.81521632981216,1995,6,4,Furnished,0,1,27,North,First,Ready to move,Yes,Luxury,Excellent,5022.726738144219,30,151.0692840756589,1
Delhi,Ahmedabad,Koramangala,Apartment,3,2582,33.53135143833741,2001,0,2,Furnished,3,20,2,South,Second,Ready to move,Yes,Luxury,Excellent,1298.6580727473822,24,49.26855612139724,1
Delhi,Bangalore,Andheri,Independent House,1,810,215.97608634713455,2003,4,0,Unfurnished,1,23,9,East,First,Ready to move,No,Luxury,Good,26663.714363843774,22,317.3397275872261,0
Maharashtra,Hyderabad,Koramangala,Independent House,1,2408,299.70497702385063,1996,5,4,Semi-Furnished,1,15,6,South,First,Under Construction,Yes,"Gym, Pool",Poor,12446.219976073531,29,440.3649374978428,0
Tamil Nadu,Bangalore,Bandra,Penthouse,3,1893,358.8811565922518,2001,7,6,Unfurnished,0,24,5,North,First,Ready to move,Yes,"Gym, Pool",Excellent,18958.32839895678,24,527.3141596154531,1
Tamil Nadu,Pune,Andheri,Independent House,2,1535,408.7736043933933,2004,9,7,Furnished,3,12,2,North,Second,Ready to move,Yes,Basic,Poor,26630.202240611943,21,600.6225339899489,1
Tamil Nadu,Ahmedabad,Connaught Place,Apartment,3,1948,313.0579651072315,1996,7,5,Semi-Furnished,3,4,29,South,Third+,Ready to move,Yes,"Gym, Pool",Excellent,16070.737428502644,29,459.98485779793015,1
Gujarat,Mumbai,T Nagar,Independent House,2,1184,73.22269212727281,2007,8,2,Unfurnished,0,17,14,South,Third+,Under Construction,Yes,"Gym, Pool",Good,6184.348997235878,18,107.5881574014843,1
Karnataka,Hyderabad,Andheri,Villa,2,1467,347.6392026283591,2023,8,2,Furnished,3,19,10,East,First,Under Construction,Yes,"Gym, Pool, Park",Average,23697.28715939735,2,510.7960410182126,0
Gujarat,Hyderabad,Bandra,Villa,2,1820,492.4047885895434,1997,3,7,Semi-Furnished,2,10,15,East,Second,Ready to move,No,Basic,Poor,27055.208164260628,28,723.5041810253846,1
Karnataka,Chennai,Andheri,Independent House,4,2409,454.68060060675384,2007,5,5,Semi-Furnished,2,4,17,West,Third+,Under Construction,Yes,"Gym, Pool",Poor,18874.246600529423,18,668.0749724477907,0
Tamil Nadu,Pune,Koramangala,Villa,2,2008,438.4010764493661,2004,2,6,Semi-Furnished,0,21,7,East,First,Ready to move,Yes,"Gym, Pool, Park",Good,21832.722930745324,21,644.1550105263971,1
Tamil Nadu,Hyderabad,Whitefield,Villa,2,2708,165.04167361200362,2006,0,4,Furnished,1,21,20,East,Second,Ready to move,Yes,"Gym, Pool",Average,6094.596514475762,19,242.5003648801787,1
Gujarat,Ahmedabad,Andheri,Apartment,2,1142,380.37832469792033,2020,5,1,Unfurnished,1,12,11,North,Third+,Ready to move,Yes,"Gym, Pool, Park",Poor,33308.08447442384,5,558.9005522848014,0
Gujarat,Mumbai,Connaught Place,Penthouse,2,2992,428.52965406326985,1997,0,3,Furnished,3,0,13,North,Third+,Under Construction,Yes,"Gym, Pool",Good,14322.515175911427,28,629.6506524565539,0
Karnataka,Mumbai,Andheri,Villa,4,2835,345.5965782230063,2022,8,6,Furnished,2,5,23,West,Second,Ready to move,Yes,"Gym, Pool",Excellent,12190.355492875002,3,507.7947556290708,1
Delhi,Hyderabad,T Nagar,Villa,1,2463,140.26964315263064,2023,5,0,Semi-Furnished,1,10,21,West,Third+,Ready to move,Yes,"Gym, Pool",Poor,5695.072803598483,2,206.10212500687715,1
Karnataka,Bangalore,Andheri,Penthouse,4,2420,477.84030649998,2014,0,5,Unfurnished,3,9,17,East,First,Ready to move,No,"Gym, Pool",Average,19745.467210742976,11,702.1041785671384,0
Gujarat,Pune,Whitefield,Penthouse,2,1061,236.39331750016441,2000,2,6,Semi-Furnished,2,0,5,East,First,Ready to move,Yes,Luxury,Poor,22280.237276170064,25,347.3393385708885,0
Telangana,Mumbai,Koramangala,Villa,4,2227,82.3066681596221,1997,0,5,Furnished,1,15,12,West,Second,Under Construction,Yes,"Gym, Pool",Excellent,3695.853981123579,28,120.93549843479339,0
Gujarat,Hyderabad,Andheri,Independent House,3,2549,72.69338962754816,2023,1,4,Semi-Furnished,3,12,4,West,Second,Ready to move,No,Basic,Average,2851.8395303078914,2,106.81043837751844,1
Telangana,Mumbai,Connaught Place,Villa,3,1350,330.80911390354197,2019,5,4,Furnished,0,20,1,North,First,Ready to move,Yes,Luxury,Excellent,24504.378807669775,6,486.06711911980364,1
Maharashtra,Hyderabad,Bandra,Independent House,3,3378,230.1006302800348,1996,6,1,Furnished,0,15,10,West,Second,Under Construction,Yes,Basic,Average,6811.741571345021,29,338.0933165598315,1
Gujarat,Pune,Andheri,Independent House,2,424,65.35226008590254,2017,0,0,Furnished,1,14,2,North,Third+,Ready to move,Yes,Luxury,Excellent,15413.26888818456,8,96.02391062655262,1
Maharashtra,Hyderabad,Andheri,Independent House,3,2016,375.37499463492543,2016,9,4,Semi-Furnished,3,6,13,North,Third+,Under Construction,Yes,Luxury,Average,18619.791400541937,9,551.5490189457455,0
Delhi,Chennai,T Nagar,Penthouse,2,417,403.67608028413747,2008,4,1,Unfurnished,2,13,13,West,Third+,Under Construction,Yes,Basic,Average,96804.81541586031,17,593.1325986940543,0
Karnataka,Hyderabad,Connaught Place,Villa,2,969,368.19950277749666,2009,5,5,Semi-Furnished,0,23,25,West,Third+,Ready to move,Yes,"Gym, Pool, Park",Excellent,37997.88470356003,16,541.0058672947756,1
Telangana,Hyderabad,Whitefield,Villa,3,1416,117.0852212883262,2012,3,3,Furnished,2,10,12,East,Second,Ready to move,Yes,Basic,Poor,8268.730316972189,13,172.03660301727882,1
Karnataka,Ahmedabad,Bandra,Apartment,2,1755,351.0922188781133,2021,5,2,Semi-Furnished,3,12,1,East,Third+,Ready to move,Yes,"Gym, Pool",Good,20005.25463692953,4,515.8696547436231,1
Maharashtra,Pune,Koramangala,Penthouse,4,1992,25.146945389304847,2013,4,3,Furnished,0,4,10,North,Second,Ready to move,Yes,"Gym, Pool",Poor,1262.3968568928135,12,36.94911290626193,1
Telangana,Ahmedabad,Andheri,Apartment,2,1230,166.45382704563642,2016,6,3,Unfurnished,1,17,20,North,First,Under Construction,Yes,Basic,Good,13532.831467124912,9,244.57528156896487,1
Karnataka,Hyderabad,Whitefield,Apartment,3,1435,211.434335075621,2004,3,3,Unfurnished,0,2,24,West,Third+,Ready to move,Yes,"Gym, Pool, Park",Excellent,14734.100005269756,21,310.6664049261491,1
Gujarat,Pune,Bandra,Independent House,4,3482,420.91853546504075,2014,0,3,Furnished,1,11,5,South,Second,Under Construction,Yes,Luxury,Poor,12088.412850805305,11,618.4674222043211,0
Tamil Nadu,Chennai,Koramangala,Penthouse,3,2332,207.38929907331405,2011,1,2,Unfurnished,2,6,10,South,First,Under Construction,Yes,Luxury,Excellent,8893.194642937995,14,304.7229199562927,1
Maharashtra,Pune,Whitefield,Apartment,3,2610,25.40933417091118,2011,5,5,Furnished,0,19,7,West,Third+,Ready to move,Yes,"Gym, Pool",Good,973.5377076977464,14,37.33464811011346,1
Karnataka,Mumbai,Connaught Place,Villa,3,1706,189.1262776774445,2013,9,0,Semi-Furnished,3,14,15,North,Third+,Under Construction,Yes,"Gym, Pool, Park",Average,11085.948281210112,12,277.88854985214243,1
Maharashtra,Ahmedabad,Connaught Place,Apartment,4,2152,259.48356721245784,2018,1,0,Semi-Furnished,2,0,27,North,Third+,Under Construction,Yes,Luxury,Excellent,12057.786580504546,7,381.26649077348435,0
Maharashtra,Pune,Bandra,Penthouse,2,1271,475.52229760293125,2021,4,5,Unfurnished,2,18,18,South,Second,Under Construction,Yes,Luxury,Poor,37413.241353495774,4,698.6982630124324,0
Telangana,Chennai,Koramangala,Villa,3,1234,471.6964658189815,1998,3,1,Unfurnished,1,9,20,East,Second,Ready to move,Yes,"Gym, Pool",Excellent,38224.99723006333,27,693.0768609551612,1
Telangana,Delhi,Connaught Place,Villa,2,1256,106.81953834627755,2005,6,1,Furnished,3,13,4,North,First,Ready to move,Yes,"Gym, Pool, Park",Excellent,8504.740314194072,20,156.95294684299992,1
Tamil Nadu,Hyderabad,Bandra,Villa,1,1369,108.87034003493675,2011,3,4,Unfurnished,2,14,1,West,Third+,Ready to move,Yes,Luxury,Excellent,7952.54492585367,14,159.9662473440957,1
Gujarat,Pune,Connaught Place,Independent House,1,992,98.42309910298424,2018,6,7,Unfurnished,0,1,28,North,First,Under Construction,Yes,"Gym, Pool, Park",Good,9921.68337731696,7,144.6158229176837,1
Maharashtra,Hyderabad,Connaught Place,Villa,2,654,398.68252755876955,2004,7,3,Unfurnished,1,24,8,North,Second,Ready to move,Yes,"Gym, Pool, Park",Poor,60960.63112519412,21,585.7954314716901,1
Karnataka,Bangalore,Whitefield,Independent House,3,2514,22.890579376835056,2016,6,3,Furnished,3,16,11,East,Third+,Ready to move,No,"Gym, Pool",Poor,910.5242393331366,9,33.63377097260281,1
Delhi,Mumbai,Whitefield,Independent House,4,3365,81.04505513210113,2011,1,2,Semi-Furnished,1,24,3,South,First,Ready to move,Yes,Luxury,Good,2408.471177774179,14,119.08177499140017,1
Maharashtra,Ahmedabad,Connaught Place,Apartment,3,3061,278.2206231891675,2006,0,3,Furnished,1,9,28,East,Third+,Ready to move,Yes,"Gym, Pool",Poor,9089.20689935209,19,408.7973731966371,1
Maharashtra,Mumbai,T Nagar,Apartment,3,3421,138.82979210564744,2004,4,2,Furnished,2,4,29,West,Second,Ready to move,Yes,Basic,Poor,4058.164048688905,21,203.98651143713485,1
Tamil Nadu,Bangalore,Whitefield,Villa,1,1002,64.3310999548458,2004,6,4,Unfurnished,0,5,12,West,First,Under Construction,Yes,Luxury,Excellent,6420.269456571436,21,94.52349137508217,1
Gujarat,Bangalore,Koramangala,Penthouse,2,1465,192.74144592024047,2000,0,6,Semi-Furnished,0,5,13,East,Third+,Under Construction,No,"Gym, Pool, Park",Good,13156.412690801397,25,283.20041805363826,1
Delhi,Ahmedabad,Bandra,Villa,2,2211,151.61965042891748,2011,7,1,Furnished,3,5,20,West,Third+,Ready to move,Yes,"Gym, Pool, Park",Good,6857.51471863037,14,222.7790093698097,1
Telangana,Pune,Bandra,Apartment,3,2239,265.33006712685653,2020,2,1,Unfurnished,3,24,18,West,Third+,Ready to move,Yes,Luxury,Good,11850.382631838165,5,389.8569172487192,1
